n,quick,heap,counting,radix
1000,0.000000,0.000000,0.123000,0.000000
2000,0.000000,0.000000,0.138000,0.000000
3000,0.000000,0.000000,0.136000,0.001000
4000,0.000000,0.000000,0.139000,0.000000
5000,0.000000,0.000000,0.153000,0.001000
6000,0.000000,0.000000,0.154000,0.001000
7000,0.001000,0.001000,0.155000,0.000000
8000,0.002000,0.000000,0.158000,0.000000
9000,0.002000,0.000000,0.153000,0.001000
10000,0.001000,0.000000,0.155000,0.000000
11000,0.001000,0.001000,0.158000,0.002000
12000,0.001000,0.000000,0.161000,0.001000
13000,0.001000,0.000000,0.155000,0.001000
14000,0.000000,0.001000,0.160000,0.001000
15000,0.000000,0.001000,0.157000,0.001000
16000,0.001000,0.001000,0.158000,0.001000
17000,0.001000,0.001000,0.157000,0.002000
18000,0.001000,0.001000,0.157000,0.002000
19000,0.001000,0.001000,0.157000,0.002000
20000,0.001000,0.001000,0.161000,0.001000
